id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
230,200,ANU,ACT,149.119,-35.2777,,,Updated 3-Dec-2022,,,,,R1,-35.2777,149.119,80105104901.0,80105104901.0,801051049.0,Acton,80105.0,North Canberra,801.0,Australian Capital Territory,1.0,1.0,1.0,1.0,,,N2,,,Unincorporated ACT,89399.0,Durack,
232,800,DARWIN,NT,130.83668,-12.458684,,,Updated 3-Dec-2022,70101.0,Darwin City,701.0,Darwin,R1,-12.3932794,130.7766611,70101100203.0,70101100218.0,701011002.0,Darwin City,70101.0,Darwin City,701.0,Darwin,3.0,3.0,2.0,2.0,,,NT1,PHN701,Northern Territory,Darwin Waterfront Precinct,71150.0,Solomon,Inner Metropolitan
233,801,DARWIN,NT,130.83668,-12.458684,,,Updated 3-Dec-2022,70101.0,Darwin City,701.0,Darwin,R1,-12.4634403,130.8456418,70101100208.0,70101100208.0,701011002.0,Darwin City,70101.0,Darwin City,701.0,Darwin,3.0,3.0,2.0,2.0,,,NT1,PHN701,,Darwin Waterfront Precinct,71150.0,Lingiari,Rural
24055,803,WAGAIT BEACH,NT,0.0,0.0,,Post Office Boxes,Updated 3-Dec-2022,70205.0,Katherine,702.0,Northern Territory - Outback,R1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
234,804,PARAP,NT,130.873315,-12.428017,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.4324801,130.8462536,70101100704.0,70101100704.0,701011007.0,Parap,70101.0,Darwin City,701.0,Darwin,3.0,3.0,2.0,2.0,,,NT1,PHN701,,Darwin,71000.0,Durack,
235,810,ALAWA,NT,130.866242,-12.381806,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.38,130.873,70102101001.0,70102101001.0,701021010.0,Alawa,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,9.22142887115479,NT1,PHN701,Northern Territory,Darwin,71000.0,Solomon,Inner Metropolitan
249,811,CASUARINA,NT,130.866242,-12.381806,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.373333,130.881667,70102101307.0,70102101307.0,701021013.0,Brinkin - Nakara,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,9.22142887115479,NT1,PHN502,,Darwin,71000.0,Durack,
19975,812,ANULA,NT,130.89047,-12.39124885,Northern Territory Country 1,Delivery Area,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.3928,130.89,70102101104.0,70102101104.0,701021011.0,Anula,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,4.40720176696777,NT1,PHN701,Northern Territory,Darwin,71000.0,Solomon,Inner Metropolitan
24056,813,KARAMA,NT,130.916098,-12.404778,,Post Office Boxes,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-19.4914,132.551,70202105501.0,70202105501.0,702021055.0,Barkly,70202.0,Barkly,702.0,Northern Territory - Outback,5.0,5.0,7.0,7.0,,,,,,Darwin,71000.0,,
260,814,NIGHTCLIFF,NT,130.866242,-12.381806,,,Updated 3-Dec-2022,70102.0,Darwin Suburbs,701.0,Darwin,R1,-12.383,130.849,70102102509.0,70102102509.0,701021025.0,Nightcliff,70102.0,Darwin Suburbs,701.0,Darwin,3.0,3.0,2.0,2.0,,9.22142887115479,NT1,PHN701,,Darwin,71000.0,Durack,
